DateTime,Outdoor air temperature [C],Solar radiation [W/m2],Occupant count,Room temperature [C],Heating setpoint [C],Cooling setpoint [C],HVAC load [W]
2023-01-01 13:00:00,-2.2,173.5,0.72567,17.043276774141873,21.0,24.0,0.0
2023-01-01 13:15:00,-2.475,86.75,0.72567,16.95296890962491,20.999999999999996,23.999999999999996,0.0
2023-01-01 13:30:00,-2.75,0.0,0.72567,16.77944125077079,21.0,24.000000000000004,0.0
2023-01-01 13:45:00,-3.0249999999999995,65.0,0.72567,16.673952712205075,21.000000000000004,24.000000000000007,0.0
2023-01-01 14:00:00,-3.3,130.0,0.72567,16.605547750110066,20.99999999999996,23.99999999999996,0.0
2023-01-01 14:15:00,-3.175,195.0,0.72567,16.616724942085465,21.0,24.0,0.0
2023-01-01 14:30:00,-3.05,260.0,0.72567,16.68500080154114,21.0,23.999999999999996,0.0
2023-01-01 14:45:00,-2.925,208.5,0.72567,16.725720258267586,20.999999999999996,24.0,0.0
2023-01-01 15:00:00,-2.8,157.0,0.72567,16.709785794363547,21.0,24.0,0.0
2023-01-01 15:15:00,-2.8,105.5,0.72567,16.663294898332595,21.0,24.0,0.0
2023-01-01 15:30:00,-2.8,54.0,0.72567,16.561433973874813,21.0,24.0,0.0
2023-01-01 15:45:00,-2.8,53.75,0.72567,16.45710919595414,21.0,24.000000000000004,0.0
2023-01-01 16:00:00,-2.8,53.5,0.72567,16.845321050340296,21.0,24.000000000000004,825.0640468125725
2023-01-01 16:15:00,-3.35,53.25,0.8849400000000001,16.80620919952593,21.0,24.000000000000004,0.0
2023-01-01 16:30:00,-3.9,53.0,0.8849400000000001,16.542034493680973,21.0,24.0,0.0
2023-01-01 16:45:00,-4.45,0.0,0.8849400000000001,16.32279489272038,21.0,24.0,0.0
2023-01-01 17:00:00,-5.0,0.0,0.8849400000000001,16.111188374317333,21.0,24.000000000000004,0.0
2023-01-01 17:15:00,-5.15,0.0,1.6593,15.998131839701449,21.0,24.000000000000004,0.0
2023-01-01 17:30:00,-5.3,0.0,1.6593,16.320891469865366,21.0,24.000000000000004,852.293605374376
2023-01-01 17:45:00,-5.449999999999999,0.0,1.6593,17.61331840295422,21.0,24.000000000000004,2359.1850021239434
2023-01-01 18:00:00,-5.6,0.0,1.6593,18.912374006822333,21.0,24.0,4111.354985600338
2023-01-01 18:15:00,-5.725,0.0,2.69079,18.051533848707077,21.0,24.0,866.3074267641841
2023-01-01 18:30:00,-5.85,0.0,2.69079,18.81254139422662,21.0,24.000000000000004,2482.5258109459182
2023-01-01 18:45:00,-5.975,0.0,2.69079,19.05521128423539,21.0,24.0,2445.5838573223805
2023-01-01 19:00:00,-6.1,0.0,2.69079,18.44061136991344,21.0,24.000000000000004,744.4294344349203
