,5.400.C1 room temp,5.400.C1 rcp load,5.400.C1 air load,5.400.C1 occ,5.400.C1 rcp cool load,5.400.C1 rcp heat load,5.400.C1 setpoint,5.416 room temp,5.416 rcp load,5.416 air load,5.416 occ,5.416 rcp cool load,5.416 rcp heat load,5.416 setpoint,5.417 room temp,5.417 rcp load,5.417 air load,5.417 occ,5.417 rcp cool load,5.417 rcp heat load,5.417 setpoint,5.420 room temp,5.420 rcp load,5.420 air load,5.420 occ,5.420 rcp cool load,5.420 rcp heat load,5.420 setpoint,5.425 room temp,5.425 rcp load,5.425 air load,5.425 occ,5.425 rcp cool load,5.425 rcp heat load,5.425 setpoint,5.426 room temp,5.426 rcp load,5.426 air load,5.426 occ,5.426 rcp cool load,5.426 rcp heat load,5.426 setpoint,5.429 room temp,5.429 rcp load,5.429 air load,5.429 occ,5.429 rcp cool load,5.429 rcp heat load,5.429 setpoint,Thermometer,Solar Radiation Sensor,OAT_Smooth,sp_delta,5.400.C1 Heating SP,5.400.C1 Cooling SP,5.416 Heating SP,5.416 Cooling SP,5.417 Heating SP,5.417 Cooling SP,5.420 Heating SP,5.420 Cooling SP,5.425 Heating SP,5.425 Cooling SP,5.426 Heating SP,5.426 Cooling SP,5.429 Heating SP,5.429 Cooling SP
2024-10-01 02:30:00,72.99999237,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 02:45:00,72.94999695,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 03:00:00,72.92999268,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 03:15:00,72.88999176,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 03:30:00,72.86999512,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 03:45:00,72.84999085,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 04:00:00,72.83999634,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 04:15:00,72.8299942,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 04:30:00,72.81999207,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 04:45:00,72.78999329,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 05:00:00,72.77999115,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 05:15:00,72.75999451,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 05:30:00,72.73999786,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 05:45:00,72.71999359,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 06:00:00,72.71999359,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 06:15:00,72.68999481,0.0,,0.0,0.0,0.0,79.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,65.0,79.99999237,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 06:30:00,72.6499939,0.0,,0.0,0.0,0.0,75.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,75.99999237,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
2024-10-01 06:45:00,72.62999725,0.0,,0.0,0.0,0.0,75.99999237,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,75.99999237,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.0
